n_type_n,p_type_p,a,h,R,T_h,eta,mc_p,mDOS_p,tau_eff_p,n_i_p,eta_F_p,E_g_p,mDOS_min_p,kappa_L_300_p,Cp_p,rho_p,epsilon_p,mc_n,mDOS_n,tau_eff_n,n_i_n,eta_F_n,E_g_n,mDOS_min_n,kappa_L_300_n,Cp_n,rho_n,epsilon_n
13,10,5.0,6.0,0.145,750,0.098169328,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
13,10,5.0,6.0,0.145,773,0.099032471,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
13,10,5.0,6.0,2.559,526,0.006901443,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
13,10,5.0,6.0,2.559,750,0.007192826,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
13,10,5.0,6.0,2.559,773,0.007213588,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
5,7,3.0,6.0,0.136,406,0.789887073,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
5,7,3.0,6.0,0.136,654,2.482983212,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
5,7,3.0,6.0,0.136,873,3.155451804,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
5,7,3.0,6.0,0.14,406,0.786876545,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
5,7,3.0,6.0,0.14,654,2.487628294,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
5,7,3.0,6.0,0.14,873,3.1735502,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
5,7,3.0,6.0,3.234,406,0.098740793,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
5,7,3.0,6.0,3.234,654,0.441496476,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
5,7,3.0,6.0,3.234,873,0.733927514,1.08,5.79,13.3384320272085,7.15050488010654e+18,-0.1,1.0083,3.64,6.8,267.5,8430,22.66,0.93,4.1,18.2230624430032,4.83161706360281e+19,0.0,0.3962,1.88,8.0,247.5,10300,20.88
20,22,4.0,4.0,0.068,618,4.4e-06,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
20,22,4.0,4.0,0.068,656,5.09e-06,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
20,22,4.0,4.0,0.068,746,7.72e-06,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
20,22,4.0,4.0,0.386,618,2.47e-05,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
20,22,4.0,4.0,0.386,656,2.86e-05,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
20,22,4.0,4.0,0.386,746,4.33e-05,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
20,22,4.0,4.0,1.598,618,9.87e-05,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
20,22,4.0,4.0,1.598,656,0.000113856,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
20,22,4.0,4.0,1.598,746,0.000171131,1.64,6.11,34.1916952213392,7.72278110305514e+18,-0.1,0.4567,2.43,4.5,330.0,7230,22.92,2.12,4.97,6.92596270133425,5.47364753040198e+19,-0.04,1.089,7.35,24.0,275.0,7420,19.09
32,41,4.0,5.0,0.088,362,0.412588678,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,41,4.0,5.0,0.088,785,4.570863391,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,41,4.0,5.0,0.088,898,5.343652954,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,41,4.0,5.0,0.556,362,0.098076791,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,41,4.0,5.0,0.556,785,1.191035159,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,41,4.0,5.0,0.556,898,1.396845437,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,41,4.0,5.0,4.814,362,0.012229091,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,41,4.0,5.0,4.814,785,0.151735475,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,41,4.0,5.0,4.814,898,0.178141645,1.15,4.49,7.4339817709329,4.63494509401655e+19,-0.0400000000000001,0.514899999999999,1.94,10.0,310.0,7620,20.9,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
31,3,2.0,2.0,0.014,502,0.469190015,1.44,7.8,8.26861906783258,4.24802359277226e+20,-0.0,1.1474,4.31,11.5,172.5,9540,17.51,1.44,4.49,16.3184698700459,4.86322975647003e+18,-0.1,1.004,6.59,9.0,210.0,9830,20.37
31,3,2.0,2.0,0.014,773,1.041768649,1.44,7.8,8.26861906783258,4.24802359277226e+20,-0.0,1.1474,4.31,11.5,172.5,9540,17.51,1.44,4.49,16.3184698700459,4.86322975647003e+18,-0.1,1.004,6.59,9.0,210.0,9830,20.37
31,3,2.0,2.0,0.014,860,1.25045487,1.44,7.8,8.26861906783258,4.24802359277226e+20,-0.0,1.1474,4.31,11.5,172.5,9540,17.51,1.44,4.49,16.3184698700459,4.86322975647003e+18,-0.1,1.004,6.59,9.0,210.0,9830,20.37
31,3,2.0,2.0,0.162,502,0.897211928,1.44,7.8,8.26861906783258,4.24802359277226e+20,-0.0,1.1474,4.31,11.5,172.5,9540,17.51,1.44,4.49,16.3184698700459,4.86322975647003e+18,-0.1,1.004,6.59,9.0,210.0,9830,20.37
31,3,2.0,2.0,0.162,773,2.599552891,1.44,7.8,8.26861906783258,4.24802359277226e+20,-0.0,1.1474,4.31,11.5,172.5,9540,17.51,1.44,4.49,16.3184698700459,4.86322975647003e+18,-0.1,1.004,6.59,9.0,210.0,9830,20.37
