mc_n,mDOS_n,tau_eff_n,n_i_n,eta_F_n,E_g_n,mDOS_min_n,kappa_L_300_n,Cp_n,rho_n,epsilon_n,mc_p,mDOS_p,tau_eff_p,n_i_p,eta_F_p,E_g_p,mDOS_min_p,kappa_L_300_p,Cp_p,rho_p,epsilon_p,a,h,R,T_h,eta
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,0.14,873,3.1735502
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,3.234,406,0.098740793
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,3.234,654,0.441496476
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,3.234,873,0.733927514
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,0.068,618,4.4e-06
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,0.068,656,5.09e-06
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,0.068,746,7.72e-06
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,0.386,618,2.47e-05
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,0.386,656,2.86e-05
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,0.386,746,4.33e-05
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,1.598,618,9.87e-05
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,1.598,656,0.000113856
2.12,4.97,7.259527538,5.47e+19,-0.04,1.089,7.35,24.0,280,7420,19.09,1.64,6.11,49.73548072,7.72e+18,-0.1,0.4567,2.43,4.5,330,7230,22.92,4.0,4.0,1.598,746,0.000171131
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,0.088,362,0.412588678
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,0.088,785,4.570863391
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,0.088,898,5.343652954
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,0.556,362,0.098076791
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,0.556,785,1.191035159
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,0.556,898,1.396845437
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,4.814,362,0.012229091
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,4.814,785,0.151735475
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.15,4.49,9.568679779,4.63e+19,-0.04,0.5149,1.94,10.0,320,7620,20.9,4.0,5.0,4.814,898,0.178141645
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,0.014,502,0.469190015
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,0.014,773,1.041768649
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,0.014,860,1.25045487
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,0.162,502,0.897211928
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,0.162,773,2.599552891
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,0.162,860,3.261865353
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,2.512,502,0.12846786
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,2.512,773,0.448978259
1.44,4.49,15.58999631,4.86e+18,-0.1,1.004,6.59,9.0,210,9830,20.37,1.44,7.8,8.28179336,4.25e+20,0.0,1.1474,4.31,11.5,175,9540,17.51,2.0,2.0,2.512,860,0.584703009
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,0.142,555,0.307994052
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,0.142,747,0.745920117
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,0.142,852,1.04773927
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,0.438,555,0.105617713
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,0.438,747,0.257671926
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,0.438,852,0.363609557
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,1.744,555,0.027077
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,1.744,747,0.066242283
0.93,4.1,11.94596239,4.72e+20,0.12,0.3962,1.88,8.0,255,10300,20.88,0.49,2.2,10.42133521,5.04e+20,0.12,0.2786,3.02,10.0,330,6560,19.66,2.0,4.0,1.744,852,0.093641692
0.55,1.93,7.698492884,4.94e+20,0.12,0.3856,3.33,7.5,210,9600,23.56,0.93,3.33,5.129714505,4.3e+20,0.06,0.3856,1.93,7.5,210,9600,23.56,2.0,3.0,0.043,669,2.041404483
0.55,1.93,7.698492884,4.94e+20,0.12,0.3856,3.33,7.5,210,9600,23.56,0.93,3.33,5.129714505,4.3e+20,0.06,0.3856,1.93,7.5,210,9600,23.56,2.0,3.0,0.043,763,2.856001246
0.55,1.93,7.698492884,4.94e+20,0.12,0.3856,3.33,7.5,210,9600,23.56,0.93,3.33,5.129714505,4.3e+20,0.06,0.3856,1.93,7.5,210,9600,23.56,2.0,3.0,0.043,843,3.603108708
0.55,1.93,7.698492884,4.94e+20,0.12,0.3856,3.33,7.5,210,9600,23.56,0.93,3.33,5.129714505,4.3e+20,0.06,0.3856,1.93,7.5,210,9600,23.56,2.0,3.0,1.088,669,0.109909781
0.55,1.93,7.698492884,4.94e+20,0.12,0.3856,3.33,7.5,210,9600,23.56,0.93,3.33,5.129714505,4.3e+20,0.06,0.3856,1.93,7.5,210,9600,23.56,2.0,3.0,1.088,763,0.157215653
0.55,1.93,7.698492884,4.94e+20,0.12,0.3856,3.33,7.5,210,9600,23.56,0.93,3.33,5.129714505,4.3e+20,0.06,0.3856,1.93,7.5,210,9600,23.56,2.0,3.0,1.088,843,0.202321011
0.55,1.93,7.698492884,4.94e+20,0.12,0.3856,3.33,7.5,210,9600,23.56,0.93,3.33,5.129714505,4.3e+20,0.06,0.3856,1.93,7.5,210,9600,23.56,2.0,3.0,4.78,669,0.025287053
